人名,x坐标,y坐标,z坐标
倪不小,0.010448019355012059,0.031999076670939236,0.03953364736779832
倪浩,0.027954879618711414,-0.04118132551305793,-0.04991200828897246
傅思归,-0.012630723420635806,-0.03202699359297948,-0.027126705345211582
傻姑,-0.03135097819376541,0.001780654141945132,0.03898830567276077
元义方,-0.01352794223390711,-0.015472249447738458,-0.03732934196455086
元伤,0.00443454367209799,-0.01604268112316824,0.005189430037187046
元广波,0.022971849586944128,-0.006071692084775443,-0.007896607529118995
元悲,-0.010050777783021452,0.003399497657265324,0.03225578265019829
元澄道人,-0.027723745223489974,-0.045099933919343436,0.03399369903156
元痛,-0.04904028021117326,0.012156568485697895,-0.011091252619001611
兆惠,0.01861647209677866,-0.026495562521973732,-0.003252148378519612
全冠清,0.027088303570874953,-0.015376268329204565,-0.01655787109815685
全金发,0.059722715086144657,-0.04635822107973584,0.013170120754477772
公冶乾,-0.003871699784801007,0.04051001203700979,0.0072544813104098126
公孙止,-0.04211322410627899,0.024567735532381643,-0.0476759598358344
公孙绿萼,0.035550389587710826,-0.033282937828919695,0.03619158700315542
公孙谷主,0.025593564087384207,-0.006612554472079697,-0.003729214927341496
兰剑,-0.031339300767742696,0.010989316726052191,-0.0018987828321032582
关安基,0.014435935766077615,0.06830606955993267,-0.019897705728677304
关明梅,-0.004835616378135822,-0.05217838629987771,-0.007343507401210224
农夫,-0.01962014195241386,-0.020498953759962215,-0.01753362928679451
农妇,-0.021062372061877475,-0.019501222555356065,-0.006444848248551592
冯不摧,0.0016716019750772269,0.056880117900284584,-0.004648141668147349
冯不破,-0.0031816600423505903,0.0003841354602786642,-0.025016417670242836
冯同知,0.015863466669607182,-0.041318403086516055,-0.025889633562608837
冯坦,-0.06003115609182257,0.029819635542294005,0.0030285489857536565
冯振武,0.0076633570783968125,-0.009059276298541755,-0.007525273086858168
冯辉,0.018653585288887563,-0.017306214787016726,-0.0034383219277477244
冯锡范,0.033028026650754314,-0.0260173773489802,0.048574203691750584
冯阿三,-0.018991728543899786,0.015370345563616572,0.008705198091663964
冯难敌,0.017663418361556566,0.012638640617818216,-0.019908639461359887
冯默风,-0.032815053118631296,-0.03612552686761186,-0.0299801549440801
冲虚,0.024492923220534563,-0.009643923396543729,0.04079833370711897
冷谦,-0.03475252677876589,-0.002886106115771324,0.009887505949004902
净济,-0.037457032792062264,-0.005791880225797482,-0.028861814950581818
净清,-0.009219542811621757,-0.025709208395809396,0.01439946047814695
凌退思,-0.05491379933104163,0.0016842406668411795,-0.046165110834661315
凤一鸣,-0.022428678694755906,0.020272266493012604,-0.015321105321544957
凤七,0.07210884919018662,0.005128044110889736,-0.057308969274623506
凯别兴,0.004583373577924466,-0.005856147648472296,0.010985003082388487
出尘子,-0.010947678662284454,0.047595683388216015,0.027005252430863755
刀白凤,-0.03949133235615624,-0.0437980669193755,-0.011606158677508282
刘一舟,0.02971955886839279,0.037980926477124415,0.01383829758531508
刘之余,0.006746075372578387,-0.017060864238540422,-0.040279543762649854
刘乘风,0.004488784970280188,-0.004790308306537768,-0.011970787068139997
刘元鹤,-0.011638179283448546,0.04447254426710872,0.07345034161669942
刘培生,0.02204990447067025,0.0037922396015632864,-0.03265339044692937
刘处玄,-0.009763907142287585,-0.027901091144008548,0.009931757086608938
刘宗敏,-0.011544450137133736,-0.004585030998675763,-0.013391923948542932
刘正风,0.040018154836798124,-0.0077948053380656294,0.0037045186818067677
刘竹庄,-0.030060143699513788,0.0022348327353388263,-0.015643266511055142
刘芳亮,-0.039403778548122326,0.045547195760765775,-0.031333431191438554
刘芹,-0.10151722063112008,-0.023873073460544778,0.008125885674332482
刘鹤真,0.016595155067505564,0.00028637958807851933,0.014220028096392612
努儿海,0.02474921880664382,0.00039758529107266916,0.02819311741533913
劳德诺,0.022288511056699344,-0.014638754923494519,-0.0008821750519979767
包不同,-0.01962354639199474,-0.029340812543057895,-0.041197949570916124
包惜弱,0.002842921654088245,-0.01282576468902946,-0.024829607135136142
华伯斯基,0.026927889868060148,0.030249699497085305,0.00452207637275946
